theta,theta_dot,tau,J,b,k
2.1984025619879657,0.982787081377586,1.6166847691283277,0.5212370345395699,0.30961163487127097,1.1478071557777687
2.208023660504003,0.9621098516037196,1.7496476039156756,0.5213347428300782,0.3096563763111328,1.1477866646902188
2.217428558590168,0.9404898086165153,1.7049219986273756,0.5214324297858455,0.3097011153369007,1.1477660790192088
2.2265990413687615,0.9170482778593467,1.613809865251028,0.5215300953091847,0.30974585193738974,1.1477453987779134
2.235546995205433,0.8947953836671675,1.6788427819493064,0.5216277393024303,0.30979058610141585,1.1477246239795675
2.2442795496712757,0.8732554465842771,1.719191745658633,0.5217253616679386,0.3098353178177955,1.1477037546374673
2.2527716205900266,0.8492070918750759,1.5914270864207167,0.5218229623080869,0.3098800470753457,1.1476827907649694
2.2610254165604164,0.8253795970389671,1.6050041967926738,0.5219205411252748,0.30992477386288425,1.1476617323754903
2.2690372926637608,0.8011876103344466,1.5878215300928185,0.5220180980219233,0.30996949816922936,1.1476405794825077
2.2768072097716616,0.7769917107900753,1.5890648739732398,0.5221156329004757,0.31001421998319995,1.1476193320995591
2.2843193382701372,0.7512128498475797,1.507566597345968,0.522213145663397,0.31005893929361567,1.147597990240243
2.2915774241531905,0.7258085883053106,1.5274935646329373,0.5223106362131745,0.3101036560892966,1.1475765539182183
2.298586064606752,0.700864045356159,1.5516963950236566,0.5224081044523177,0.31014837035906345,1.147555023147204
2.305341775544271,0.6755710937518584,1.5335366959047425,0.5225055502833582,0.3101930820917379,1.1475333979409799
2.311842404018277,0.6500628474006036,1.5219257544450664,0.5226029736088504,0.31023779127614187,1.1475116783133863
2.318077487295632,0.6235083277354897,1.4665131135894884,0.5227003743313708,0.310282497901098,1.1474898642783236
2.3240509959460995,0.5973508650467452,1.485904960495845,0.5227977523535189,0.31032720195542973,1.1474679558497527
2.329776568961812,0.5725573015712837,1.5556805308856354,0.5228951075779164,0.310371903427961,1.147445953041695
2.3352229347946647,0.5446365832852488,1.3907400482122203,0.5229924399072082,0.31041660230751655,1.1474238558682326
2.340407179945853,0.518424515118816,1.4774008464642758,0.5230897492440622,0.3104612985829215,1.1474016643435072
2.3453246624194173,0.4917482473564394,1.4506411091338507,0.5231870354911687,0.3105059922430019,1.147379378481722
2.349978710969259,0.4654048549841902,1.465129059025145,0.5232842985512417,0.31055068327658425,1.1473569982971394
2.354361698944531,0.43829879752720874,1.4220832942300963,0.5233815383270181,0.3105953716724959,1.1473345238040829
2.358471423331186,0.4109724386654653,1.4068636564626564,0.523478754721258,0.31064005741956463,1.1473119550169364
2.362297216919985,0.38257935887991185,1.3469385093157509,0.5235759476367453,0.31068474050661915,1.1472892919501434
2.365850781111779,0.35535641917938765,1.4034710358125795,0.5236731169762869,0.3107294209224885,1.1472665346182087
2.369130659236365,0.3279878124585762,1.3911567014752046,0.5237702626427134,0.31077409865600275,1.147243683035697
2.3721253234983255,0.29946642619604974,1.3257181886314098,0.5238673845388794,0.3108187736959923,1.1472207372172332
2.3748370971031214,0.2711773604795791,1.332143305706379,0.5239644825676627,0.31086344603128857,1.1471976971775024
2.3772548700119427,0.24177729088213595,1.2679193272236202,0.5240615566319655,0.31090811565072335,1.1471745629312506
2.379377106098541,0.21222360865983098,1.2531707284635483,0.5241586066347137,0.3109527825431293,1.1471513344932835
2.3812131939902588,0.18360878917177828,1.2953031007523232,0.5242556324788572,0.3109974466973396,1.1471280118784672
2.382776252607363,0.15630586171042268,1.3569744683819551,0.5243526340673703,0.3110421081021884,1.1471045951017285
2.384038046944341,0.12617943369782206,1.2018829062212188,0.5244496113032513,0.31108676674651015,1.1470810841780539
2.385004230311382,0.09661833670408738,1.2232698730936977,0.524546564089523,0.31113142261914023,1.1470574791224906
2.385668210739103,0.06639804277211107,1.1802576775794544,0.5246434923292328,0.3111760757089148,1.1470337799501453
2.3860356756152736,0.03674648761708806,1.2011128305052692,0.5247403959254523,0.3112207260046705,1.1470099866761863
2.3860981169228164,0.006244130754263017,1.1473102765660597,0.5248372747812778,0.3112653734952447,1.1469860993158405
2.3858625204744612,-0.023559644835510256,1.1742061127079957,0.5249341287998308,0.3113100181694756,1.1469621178843963
2.385326045000036,-0.05364754744251381,1.1493930508056391,0.5250309578842569,0.31135466001620205,1.1469380423972018
2.3844660076969695,-0.08600373030668429,1.0199447344289339,0.5251277619377273,0.31139929902426355,1.146913872869665
2.383293425202305,-0.1172582494664283,1.0663699002323563,0.5252245408634378,0.3114439351825003,1.1468896093172545
2.3818303207430804,-0.14631044592243972,1.1706180646113997,0.5253212945646095,0.31148856847975337,1.1468652517554991
2.3800649348962275,-0.17653858468530803,1.0977587391223782,0.5254180229444889,0.31153319890486436,1.1468408001999877
2.377991291566097,-0.20736433301309218,1.0545531776668742,0.5255147259063473,0.3115778264466757,1.1468162546663692
2.37560851270897,-0.23827788571266345,1.0375895106867508,0.525611403353482,0.3116224510940305,1.1467916151703528
2.372916610323602,-0.26919023853681917,1.024918506712526,0.5257080551892155,0.3116670728357725,1.1467668817277075
